ID;type;labels;word_counts;num_sentences;num_syllables;avg_syllables_per_word;fk_grade;fk_read;Analytic;Authentic;Tone;tone_pos;tone_neg;focuspast;focuspresent;focusfuture;Cognition;memory;Self-reference;Other-reference;Contextual Embedding;Perceptual Details;Reality Monitoring;concr_score;Temporal details;Spatial details;People;Quantity details
1;A;F;19;3;24;1.263157895;2.2;90.46;22.98;1;1;0;10.53;0;5.26;10.53;15.79;0;0;10.53;5.26;0;0;3.72625;0;0;0;0
1;E;T;36;3;66;1.941176471;11.2;34.63;41.36;22.12;20.23;2.78;2.78;0;5.56;0;22.22;0;11.11;0;0;0;-16.66;2.709285714;0;0;0;0
1;G;T;61;3;73;1.303571429;7;77.87;13.44;37.69;89.9;4.92;0;0;4.92;0;18.03;0;3.28;3.28;3.28;0;-9.83;2.55;0;0;0;0
1;M;F;34;3;42;1.272727273;4;85.69;29.85;4.6;66.58;5.88;2.94;0;2.94;0;5.88;0;8.82;17.65;8.82;0;11.76;3.163333333;0;0;0;0
1;C;T;53;3;73;1.431372549;7.6;71.14;48.72;18.63;49.04;3.77;1.89;0;1.89;1.89;18.87;0;3.77;1.89;5.66;1.89;-5.66;3.07125;0;0;0;1.886792453
2;A;F;61;4;72;1.2;4.4;90.09;87.11;71.87;44.83;3.28;1.64;0;8.2;0;9.84;0;11.48;0;8.2;0;3.28;3.000869565;0;0;0;0
2;E;T;32;4;39;1.344827586;2.6;89.45;62.1;32.54;1;0;9.38;0;9.38;0;9.38;0;3.13;0;9.38;9.38;18.76;2.78;0;0;0;0
2;G;T;27;4;38;1.407407407;3.6;81.49;23.88;52.89;1;0;3.7;0;14.81;0;3.7;0;7.41;0;7.41;0;7.41;3.073;0;0;0;0
2;M;F;39;4;50;1.282051282;3.6;86.91;18.87;2.93;99;7.69;0;5.13;0;0;23.08;0;5.13;7.69;10.25;0;-5.14;3.331428571;0;0;0;0
2;C;T;37;4;61;1.694444444;8;53.88;73.93;9.25;20.23;2.7;2.7;2.7;8.11;0;16.22;0;5.4;0;5.41;0;-5.4;2.712666667;0;0;0;2.702702703
3;A;F;64;4;83;1.317460317;5.9;80.82;34.33;23.08;1;0;7.81;0;6.25;0;10.94;0;4.69;1.56;6.25;0;3.12;2.926666667;0;0;0;0
3;E;T;63;5;77;1.241935484;3.4;92.73;56.86;56.69;43.94;3.17;1.59;0;3.17;0;26.98;0;4.76;0;7.93;0;-14.29;3.26;0;0;0;0
3;G;T;73;4;104;1.424657534;8.1;69.82;38.1;47.74;20.23;0;0;0;4.11;2.74;24.66;0;4.11;1.37;8.22;0;-16.44;2.710952381;0;0;0;0
3;M;F;55;4;75;1.41509434;6.1;74.9;34.49;2.49;20.23;0;0;1.82;7.27;0;18.18;0;3.64;3.64;12.73;0;-5.45;2.949473684;0;1.818181818;0;0
3;C;T;42;4;57;1.390243902;4.9;77.94;10.19;24.32;20.23;2.38;2.38;0;2.38;0;26.19;0;4.76;4.76;2.38;2.38;-16.67;2.725;0;0;0;0
4;A;F;25;3;34;1.416666667;4.1;80.28;1.9;13.33;1;0;12;0;8;0;20;0;4;0;8;0;0;2.492857143;0;0;0;0
4;E;T;61;3;77;1.262295082;7.7;76.25;50.51;11.41;6.23;3.28;4.92;3.28;3.28;1.64;27.87;0;0;3.28;8.2;0;-11.47;2.786111111;0;0;0;0
4;G;T;43;4;53;1.325;3.7;86.71;1;91.21;56.53;2.33;0;0;9.3;0;23.26;0;11.63;0;2.33;2.33;-16.27;2.8375;0;0;0;0
4;M;F;26;3;34;1.307692308;3.1;88.02;31.07;11.63;20.23;0;0;0;3.85;0;19.23;0;15.38;0;11.54;0;-7.69;3.325454545;0;0;0;0
4;C;T;43;3;56;1.302325581;5.3;82.34;37.02;22.48;1;0;4.65;2.33;6.98;0;11.63;0;0;0;13.95;0;6.97;3.240769231;0;0;0;0
5;A;F;50;3;61;1.244897959;4.9;88.77;45.65;75.94;95.9;6;0;0;4;0;28;0;2;4;2;0;-20;3.01;0;0;0;0
5;E;T;50;5;61;1.244897959;2.4;95.37;7.03;99;1;0;4;0;8;0;36;0;6;0;12;0;-20;2.422;0;0;0;0
5;G;T;75;5;85;1.180555556;4.2;90.7;14.24;8.82;39.67;1.33;0;2.67;6.67;2.67;20;0;1.33;6.67;4;0;-14.67;2.97125;0;0;0;0
5;M;F;37;4;52;1.405405405;4.6;78.96;35.05;94.68;62.77;5.41;2.7;5.41;2.7;2.7;27.03;0;2.7;0;18.92;0;0;2.838;0;0;0;0
5;C;T;49;3;63;1.285714286;6.1;80.31;1.08;3.57;82.06;4.08;0;0;4.08;8.16;16.33;0;6.12;0;2.04;4.08;-6.13;3.305333333;0;0;0;0
6;A;F;48;5;63;1.369565217;4.5;79.06;78.28;15.38;1;0;14.58;0;8.33;0;12.5;0;6.25;6.25;14.59;0;16.67;3.548125;0;0;0;0
6;E;T;43;5;61;1.418604651;4.3;79.67;8.25;53.52;20.23;2.33;2.33;2.33;6.98;0;20.93;0;6.98;2.33;9.3;0;-6.98;2.897272727;0;0;0;0
6;G;T;54;5;71;1.314814815;4;85.89;44.1;17.46;20.23;0;0;5.56;3.7;0;29.63;0;3.7;5.56;7.41;5.55;-16.67;2.897894737;0;0;0;1.851851852
6;M;F;39;5;47;1.205128205;1.6;97.4;74.95;7.69;20.23;0;0;0;2.56;0;17.95;0;7.69;10.26;17.94;0;-0.01;3.301428571;0;2.564102564;0;0
6;C;T;44;5;56;1.272727273;3.2;87.92;38.37;1;86.79;4.55;0;4.55;9.09;0;20.45;0;2.27;0;0;0;-15.9;2.436666667;0;0;0;0
7;A;F;42;2;49;1.195121951;6.6;84.51;89.52;72.58;1;0;11.9;2.38;4.76;0;14.29;0;2.38;0;11.9;0;9.51;3.14;0;0;0;0
7;E;T;57;2;77;1.350877193;12;59.47;27.21;70.28;46.76;3.51;1.75;1.75;3.51;0;26.32;0;5.26;12.28;8.76;1.75;-10.55;2.549473684;0;0;0;0
7;G;T;44;2;61;1.386363636;9.5;66.07;16.24;2.02;55.62;2.27;0;2.27;0;0;29.55;0;2.27;2.27;2.27;2.27;-22.74;2.623846154;0;0;0;0
7;M;F;52;2;70;1.428571429;10.5;63.53;11.08;44.14;20.23;1.92;1.92;0;0;0;17.31;0;11.54;3.85;7.69;1.92;-3.85;2.845;0;0;0;0
7;C;T;69;5;107;1.550724638;8.7;57.47;76;55.19;84.9;4.35;0;1.45;8.7;0;10.14;0;1.45;0;13.05;1.45;8.71;2.891;0;0;0;0
8;A;F;72;3;91;1.3;8.8;73.21;53.89;1.17;2.17;0;2.78;5.56;4.17;2.78;9.72;0;1.39;5.56;6.95;0;1.4;3.292857143;0;0;0;0
8;E;T;76;2;99;1.302631579;14.6;58.29;40.49;42.69;80.5;3.95;0;1.32;5.26;0;11.84;0;5.26;7.89;9.21;1.32;2.64;2.7716;0;0;0;0
8;G;T;54;3;66;1.222222222;5.6;87.05;55.25;96.01;99;7.41;0;0;1.85;0;12.96;0;9.26;3.7;18.52;0;12.97;2.946111111;0;0;0;3.703703704
8;M;F;45;2;58;1.288888889;8.5;74.02;59.67;97.42;20.23;0;0;0;2.22;4.44;22.22;0;0;4.44;26.66;2.22;6.66;3.272777778;0;0;0;2.222222222
8;C;T;74;3;97;1.310810811;9.4;71.78;55.1;36.48;20.23;0;0;1.35;5.41;2.7;16.22;0;5.41;2.7;6.76;0;-9.46;3.2696;0;0;0;1.351351351
9;A;F;55;2;75;1.363636364;11.7;60.48;61.45;50.45;1;0;7.27;0;5.45;1.82;16.36;0;1.82;1.82;14.55;0;5.46;2.893333333;0;0;0;1.818181818
9;E;T;51;2;79;1.58;13;46.1;16.49;73.43;50.31;1.96;0;1.96;11.76;1.96;19.61;0;3.92;1.96;11.76;0;-5.89;2.649411765;0;0;0;0
9;G;T;66;2;73;1.158730159;10.9;73.34;1.5;99;86.79;4.55;0;0;4.55;3.03;16.67;0;10.61;3.03;9.1;3.04;0.02;3.047;0;0;3.03030303;0
9;M;F;60;2;76;1.310344828;11.1;67.42;77.34;99;6.08;0;1.67;0;3.33;1.67;18.33;0;5;0;28.34;0;11.68;2.781428571;0;1.666666667;0;0
9;C;T;54;2;76;1.407407407;11.5;60.99;55.25;17.46;5.19;1.85;3.7;1.85;3.7;0;14.81;0;1.85;0;11.11;3.7;5.56;3.387777778;0;1.851851852;0;0
10;A;F;61;4;85;1.393442623;6.9;72.87;35.92;6.65;1;3.28;8.2;3.28;8.2;1.64;26.23;0;1.64;1.64;6.56;0;-8.19;2.812727273;0;0;0;0
10;E;T;76;4;116;1.526315789;9.5;60.65;32.99;1.85;8.11;2.63;3.95;2.63;2.63;0;15.79;0;6.58;3.95;2.63;2.64;-2.63;2.859655172;0;0;0;0
10;G;T;85;5;127;1.494117647;8.7;62.68;16.49;30.4;75.21;7.06;3.53;2.35;8.24;0;27.06;0;0;2.36;4.71;0;-11.76;2.6868;0;0;0;0
10;M;F;72;4;106;1.472222222;9.1;61.67;45.49;15.38;7.66;1.39;2.78;0;4.17;0;12.5;0;8.33;4.17;15.28;0;6.95;2.988518519;0;2.777777778;0;0
10;C;T;79;4;123;1.556962025;11;51.38;42.69;22.32;38.56;3.8;2.53;1.27;5.06;1.27;18.99;0;0;1.27;8.86;2.53;-1.27;2.863846154;0;0;0;0
11;A;F;47;2;66;1.404255319;10.1;64.54;30.18;42.1;20.23;2.13;2.13;0;10.64;0;23.4;0;2.13;8.51;10.64;2.13;-4.25;2.614117647;0;0;0;0
11;E;T;61;4;68;1.236363636;4;91.31;40.68;37.69;1.32;0;3.28;0;3.28;0;19.67;0;3.28;4.92;6.56;4.92;-4.91;2.906428571;0;0;0;0
11;G;T;74;4;89;1.253521127;6.7;78.79;1.74;65.19;62.77;5.41;2.7;1.35;8.11;0;33.78;0;9.46;4.05;1.35;1.35;-22.97;2.668823529;0;0;0;1.351351351
11;M;F;52;3;63;1.26;6.3;79.9;36.37;70.92;49.66;5.77;3.85;0;3.85;0;11.54;0;3.85;1.92;15.39;3.85;19.24;2.9685;1.923076923;0;0;0
11;C;T;47;3;61;1.326086957;5.7;81.33;77.99;8.74;1;0;4.26;2.13;6.38;0;19.15;0;4.26;0;10.64;2.13;-2.12;2.773684211;2.127659574;0;0;0
12;A;F;88;4;126;1.431818182;9.5;66.07;58.76;5.07;1;1.14;7.95;0;7.95;0;12.5;0;0;1.14;5.68;1.14;3.41;3.3375;0;0;0;0
12;E;T;72;3;95;1.319444444;9.1;72.5;14.43;77.17;83;4.17;0;0;5.56;1.39;18.06;0;4.17;8.33;11.11;0;-2.78;2.7575;0;0;0;0
12;G;T;85;4;115;1.385542169;9;67.28;39.7;23.38;20.23;1.18;1.18;4.71;2.35;0;18.82;0;7.06;3.53;8.23;1.18;-7.06;2.740384615;0;1.176470588;0;1.176470588
12;M;F;84;3;121;1.44047619;11.8;59.98;56.86;97.09;20.23;3.57;3.57;1.19;3.57;0;15.48;0;11.9;0;16.67;0;8.33;3.1816;0;1.19047619;0;0
12;C;T;73;6;112;1.534246575;6.9;67.55;54.5;14.66;20.23;1.37;1.37;4.11;1.37;0;16.44;0;4.11;1.37;6.85;1.37;-5.48;3.34875;1.369863014;0;0;2.739726027
13;A;F;28;4;39;1.5;4.6;73.34;26.1;48.09;1;0;14.29;0;7.14;0;21.43;0;0;0;10.71;0;3.57;2.666363636;0;0;0;0
13;E;T;36;3;52;1.529411765;6.5;68.47;1;39.59;1;0;5.56;0;2.78;5.56;27.78;0;5.56;2.78;5.56;0;-16.66;2.652;0;0;0;0
13;G;T;37;4;40;1.142857143;0.8;104.84;27.81;55.76;20.23;0;0;0;8.11;8.11;24.32;0;5.41;8.11;5.41;8.11;-10.8;2.66875;0;0;0;0
13;M;F;19;4;26;1.368421053;2.8;83.52;36.67;70.28;99;15.79;0;0;15.79;0;15.79;0;0;10.53;10.53;0;10.53;2.936;0;5.263157895;0;0
13;C;T;26;4;39;1.5;4.6;73.34;93.9;1;79.29;3.85;0;0;0;0;15.38;0;3.85;0;0;0;-11.53;3.095454545;0;0;0;0
14;A;F;84;4;105;1.296296296;7.7;76.25;18.12;12.96;37.34;3.57;2.38;9.52;8.33;1.19;11.9;0;1.19;2.38;9.52;0;3.57;3.11;0;0;0;1.19047619
14;E;T;67;4;86;1.303030303;6.2;80.11;25.19;19.76;86.16;4.48;0;1.49;7.46;2.99;17.91;0;2.99;0;7.46;4.48;-1.49;2.8655;0;0;0;0
14;G;T;58;3;82;1.413793103;8.5;68.81;42.75;56.1;91.69;5.17;0;1.72;1.72;3.45;18.97;0;3.44;0;6.89;1.72;-5.19;2.780526316;1.724137931;0;0;3.448275862
14;M;F;61;3;83;1.360655738;8.8;67.79;50.51;18.18;99;9.84;1.64;0;1.64;1.64;13.11;0;4.92;3.28;14.76;0;13.13;2.764166667;0;0;0;1.639344262
14;C;T;72;4;113;1.569444444;10.3;53.21;94.18;10.18;99;12.5;0;0;2.78;5.56;6.94;0;0;0;8.33;1.39;15.28;3.254285714;0;0;0;1.388888889
15;A;F;46;6;54;1.2;1.5;97.7;14.64;4.38;1;0;4.35;0;13.04;6.52;30.43;0;0;8.7;4.34;0;-21.74;3.099;0;0;0;0
15;E;T;54;5;66;1.245283019;2.7;94.56;1.26;52.89;1;1.85;5.56;1.85;9.26;1.85;9.26;0;9.26;0;7.4;3.7;9.25;2.948461538;0;0;0;0
15;G;T;27;4;33;1.222222222;1.2;98.41;16.08;10.18;20.23;3.7;3.7;3.7;11.11;0;3.7;0;7.41;0;0;0;3.71;2.802;0;0;0;0
15;M;F;44;6;52;1.181818182;1.4;97.91;65.33;5.07;20.23;0;0;0;6.82;4.55;15.91;0;2.27;2.27;11.36;0;-4.55;3.078;0;2.272727273;0;0
15;C;T;52;6;65;1.25;3.1;88.02;2.59;99;20.23;1.92;1.92;0;5.77;7.69;15.38;0;15.38;0;17.31;0;5.78;2.972857143;0;0;0;0
16;A;F;59;4;79;1.362068966;6.6;73.68;25.06;7.47;1;1.69;16.95;0;11.86;0;18.64;0;0;1.69;6.77;0;6.77;3.0875;0;0;0;0
16;E;T;77;3;111;1.441558442;11;62.31;45.12;32.28;1;2.6;6.49;0;6.49;1.3;18.18;0;1.3;5.19;3.9;2.6;-2.59;2.818235294;0;0;0;0
16;G;T;55;4;81;1.528301887;7.3;66.44;39.7;9.55;20.23;3.64;3.64;3.64;3.64;0;16.36;0;3.64;0;1.82;0;-5.45;2.623;0;0;0;0
16;M;F;85;4;134;1.576470588;11.6;49.86;39.7;38.22;20.23;3.53;3.53;2.35;9.41;0;17.65;0;0;4.71;9.42;0;-1.17;2.7021875;0;1.176470588;0;0
16;C;T;79;6;126;1.594936709;8.4;58.08;54.15;1;20.23;3.8;3.8;1.27;7.59;0;18.99;0;0;0;2.53;0;-7.6;2.982;0;0;0;0
17;A;F;94;5;142;1.510638298;9.4;60.85;80.28;4.07;1;0;6.38;1.06;7.45;1.06;10.64;0;0;0;7.45;0;3.19;2.89;0;0;0;1.063829787
