step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,3.89911,0.55556,2.89006,0.11111
2,4.24316,0.44444,,
3,3.63343,0.44444,,
4,4.06337,0.44444,,
5,2.77228,0.66667,,
6,2.9829,0.55556,,
7,3.51203,0.55556,,
8,3.29093,0.44444,,
9,2.56503,0.55556,,
10,3.18853,0.55556,,
11,3.31326,0.55556,,
12,2.59588,0.66667,,
13,2.397,0.55556,,
14,2.41013,0.66667,,
15,2.2457,0.44444,,
16,2.16876,0.55556,,
17,2.09428,0.55556,,
18,1.84595,0.55556,,
19,2.54978,0.44444,,
20,1.27103,0.55556,,
21,1.13087,0.66667,,
22,1.02649,0.55556,,
23,1.36824,0.44444,,
24,0.67405,0.66667,,
25,0.58326,0.66667,,
26,0.39059,0.66667,,
27,0.60594,0.88889,,
28,0.33148,0.88889,,
29,0.09534,1.0,,
30,0.12006,1.0,,
31,0.57605,0.88889,,
32,0.03095,1.0,,
33,0.01224,1.0,,
34,0.00433,1.0,,
35,0.00831,1.0,,
36,0.03863,1.0,,
37,0.97588,0.88889,,
38,0.03652,1.0,,
39,0.21943,0.77778,,
40,0.31763,0.88889,,
41,0.04846,1.0,,
42,0.44448,0.77778,,
43,0.47918,0.88889,,
44,0.00432,1.0,,
45,0.40943,0.88889,,
46,0.76715,0.77778,,
47,0.10579,0.88889,,
48,0.07278,1.0,,
49,0.00173,1.0,,
50,0.26838,0.88889,,
51,0.20029,0.88889,,
52,0.26803,0.88889,,
53,0.94889,0.88889,,
54,0.04627,1.0,,
55,0.00455,1.0,,
56,0.59239,0.77778,,
57,0.0102,1.0,,
58,0.22106,0.88889,,
59,0.01317,1.0,,
60,0.03043,1.0,,
61,0.09345,1.0,,
62,0.02668,1.0,,
63,0.3206,0.88889,,
64,0.01627,1.0,,
65,0.00059,1.0,,
66,0.92067,0.88889,,
67,0.29479,0.88889,,
68,0.0043,1.0,,
69,0.16275,0.88889,,
70,0.10953,0.88889,,
71,0.1259,0.88889,,
72,0.00262,1.0,,
73,0.00169,1.0,,
74,0.8176,0.88889,,
75,1.30328,0.77778,,
76,0.00963,1.0,,
77,0.3677,0.88889,,
78,0.00019,1.0,,
79,1.21185,0.88889,,
80,0.38644,0.88889,,
81,0.22279,0.88889,,
82,0.8577,0.77778,,
83,0.05427,1.0,,
84,0.00404,1.0,,
85,0.00725,1.0,,
86,0.18147,0.88889,,
87,0.80843,0.77778,,
88,0.01638,1.0,,
89,0.19367,0.88889,,
90,0.00059,1.0,,
91,0.03994,1.0,,
92,0.00726,1.0,,
93,0.00192,1.0,,
