step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,2.86738,0.66667,3.03166,0.22222
2,2.56643,0.66667,,
3,3.16536,0.55556,,
4,2.80633,0.66667,,
5,2.71682,0.55556,,
6,3.24828,0.44444,,
7,3.70571,0.55556,,
8,2.56297,0.66667,,
9,2.82646,0.55556,,
10,2.47541,0.66667,,
11,2.92932,0.55556,,
12,3.4153,0.55556,,
13,2.26446,0.66667,,
14,2.0718,0.66667,,
15,3.1361,0.44444,,
16,2.7116,0.55556,,
17,2.46472,0.55556,,
18,1.30501,0.66667,,
19,1.19346,0.66667,,
20,1.4084,0.55556,,
21,0.92522,0.55556,,
22,0.57098,0.66667,,
23,0.94069,0.55556,,
24,0.48001,0.77778,,
25,0.56819,0.55556,,
26,0.19412,1.0,,
27,0.36917,0.77778,,
28,0.91765,0.88889,,
29,1.25243,0.77778,,
30,0.41223,0.77778,,
31,0.42367,0.88889,,
32,0.28373,0.88889,,
33,0.02638,1.0,,
34,0.25086,0.88889,,
35,0.03172,1.0,,
36,0.03594,1.0,,
37,0.63199,0.88889,,
38,0.2197,0.88889,,
39,0.04297,1.0,,
40,0.02997,1.0,,
41,0.06152,1.0,,
42,0.22722,0.77778,,
43,0.00236,1.0,,
44,0.02611,1.0,,
45,0.06223,1.0,,
46,0.00138,1.0,,
47,0.03602,1.0,,
48,0.00272,1.0,,
49,0.25736,0.77778,,
50,0.00081,1.0,,
51,0.41707,0.88889,,
52,0.55877,0.88889,,
53,0.00041,1.0,,
54,0.44709,0.88889,,
55,0.70821,0.77778,,
56,0.00022,1.0,,
57,0.01768,1.0,,
58,0.03218,1.0,,
59,0.12979,0.88889,,
60,0.76791,0.88889,,
61,0.01544,1.0,,
62,0.03615,1.0,,
63,0.00018,1.0,,
64,0.00164,1.0,,
65,0.05495,1.0,,
66,0.00032,1.0,,
67,0.02478,1.0,,
68,0.77741,0.88889,,
69,0.72349,0.88889,,
70,0.16267,0.88889,,
71,0.00021,1.0,,
72,0.08782,0.88889,,
73,0.00147,1.0,,
74,2.05826,0.77778,,
75,0.01264,1.0,,
76,0.00016,1.0,,
77,0.00018,1.0,,
78,0.0247,1.0,,
79,0.5261,0.88889,,
80,1.2429,0.88889,,
81,6e-05,1.0,,
82,0.97056,0.77778,,
83,0.59805,0.77778,,
84,4e-05,1.0,,
85,0.04877,1.0,,
86,0.26008,0.88889,,
87,0.00147,1.0,,
88,0.00374,1.0,,
89,0.49547,0.77778,,
90,0.01864,1.0,,
91,1.45365,0.88889,,
92,6e-05,1.0,,
93,0.35345,0.88889,,
94,1.52123,0.77778,,
95,0.00117,1.0,,
96,1.2025,0.88889,,
97,0.01353,1.0,,
98,6e-05,1.0,,
99,0.00047,1.0,,
100,3e-05,1.0,,
101,2.32179,0.77778,0.00019,0.33333
102,1.29252,0.88889,,
103,0.59381,0.77778,,
104,0.00013,1.0,,
105,0.00059,1.0,,
106,5e-05,1.0,,
107,0.81143,0.88889,,
108,0.6864,0.88889,,
109,5e-05,1.0,,
110,0.00041,1.0,,
111,1.23307,0.88889,,
112,0.11633,0.88889,,
113,0.19801,0.88889,,
114,1.59156,0.88889,,
115,3e-05,1.0,,
116,1.38371,0.77778,,
117,0.95321,0.88889,,
118,1.28416,0.88889,,
119,1.19772,0.77778,,
120,1.00264,0.88889,,
121,1.96441,0.77778,,
122,4e-05,1.0,,
123,0.00151,1.0,,
124,6e-05,1.0,,
125,0.00036,1.0,,
126,0.00035,1.0,,
127,1.23145,0.88889,,
128,0.01609,1.0,,
129,1.21206,0.88889,,
130,0.0003,1.0,,
131,0.57744,0.88889,,
