Text,True_Label,Predicted_Label
"Abortion is murder. Life begins at conception, as the bible clearly states, and terminating that life is murder, a mortal sin. Unwanted children can be adopted out to families who cannot have children, if the birth mother doesn't want it.",0,1
I am in favor of assisted suicide in the case of people with intractable and terminal illnesses or for people with conditions leaving them in so much pain that their quality of life is diminished. I am not in favor of assisted suicide for mental disorders and I am cautiously in favor of euthanasia in the case of long-term comas or the like for which the odds of recovery are extremely low.,1,1
"I am completely in favor of gay marriage, and I think that the legalization of it in the United States took far too long. Marriage isn't a religious institution, not entirely, anymore. It's a civil matter and is a binding contract between two people (who usually love each other). The ""slippery slope"" argument many people use against gay marriage is spurious at best.",1,1
"Migrants are criminals, dealing in drugs, attacking women and children, and stealing jobs from hardworking blue collar Americans. We must adopt a strong anti-immigration policy, as we aren't even taking care of our own people - we should be taking care of the homeless and of vets first, not people who aren't even from our country.",0,1
"I am in favor of cannabis legalization for medical use and am ambivalent for recreational use. At the very least, I would want to see cannabis heavily taxed, were it to be made recreationally legal. I would also prefer that a ruling be made federally, as it is still illegal federally even as states legalize it.",1,1
"Abortion should be illegal everywhere in this world. Women should not have the right to terminate pregnancy. They should be forced to have a child, whether they are able to take care of it or not. Even in the case of rape, or underage women, they should be made to keep their pregnancy.",0,1
"People who are dying of a painful disease should be allowed euthanasia. They do not want to continue to be in unbearable pain, or be dependent on others. They should also have the right to die to not burden themselves or their families with huge medical bills for an illness that can not be cured. It should be monitored, but it should be legal.",1,1
"I have no problem with gay marriage. People are just people. And love is love. To find love in your life, regardless of the sex of your partner, is a gift. And all the legal benefits of being married to your partner should be allowed.",1,1
"Unless you are Native American, either you or or family is an immigrant. Everyone should have the right to come to the US and build a better life. Children of immigrants who are born here should be legal citizens automatically. Everyone should have the right to apply for citizenship here.",0,1
People should have the right to use cannabis if they desire. To own and grow their own as well. Cannabis has tremendous medical properties that are just beginning to be discovered. You can not die from smoking or using cannabis.,1,1
Abortion is a birth control option. It is fine. It should be legal. It should be accessible to all at any time.,0,1
Life is precious. Killing of any kind is murder. Euthanasia is murder.,1,1
Homosexuality is a sin according to the Bible. I believe the Bible and want to serve God so I oppose gay marriage. Marriage is between a man and a woman. Gay marriage is not really marriage.,1,1
We should allow any and all migrants in. They do not cause problems. They help the economy. They make the country better.,0,1
I have seen the results of cannabis use. It damages thinking and causes problems in families. I am opposed to legalizing it for recreational use. I do approve of it being legal for medical use.,1,1
"Abortion is immoral and is not the right of a person to decide. Forcing women to keep unwanted pregnancies will enhance their lives. There are no implications or downsides to taking away a woman's right to terminate a pregnancy. We desperately need more people in the world, so this is another reason why every pregnancy no matter how dangerous to the mother should be maintained.",0,1
"Euthanasia has been practiced for animals for many years, and as difficult as it is to make the decision to end the life of a dear pet sometimes it is best. If an animal can no longer enjoy life or continue on without significant assistance then euthanasia might be appropriate. As for humans, I agree that people should have the right and ability to make a judgement for themselves about ending their own lives. People who are terminally ill, cannot exist without assistance of machines or have a very poor quality of life are a few of the examples I can think of as scenarios that could be considered.",1,1
"I believe that everyone has a right to a partner for life that they can rely on for love and support. A partnership that is legally binding in the eyes of the law is something that everyone deserves. This type of union provides stability in difficult times when a casual, unofficial, relationship may not be enough to prove a connection to another person. I am uncomfortable with using the word ""marriage"" and for couples to have weddings and other trappings of traditional marriages. Civil union and lawful partnerships would be more comfortable labels for me and perhaps for others to hear, see, and use in conversation rather than ""marriage"".",1,1
No migrants should be allowed in to any country that is not their native land. Migration should not even be an issue. All people should stay within the boundaries of the land/country in which they were born. There is no benefit to learning from other cultures or integrating dissimilar cultures together.,0,1
"I'm torn on the topic of cannabis legalization. Medical uses and similar uses that improve the quality of life for people and are controlled or monitored is appropriate. There are many people, young and old, that have benefited from access and use of this as medicine. Opening up the barn doors wide to use for all, everywhere, all the time, all at once could cause major problems. Unfortunately, many people cannot control themselves and abuse systems and opportunities that began with honorable intentions.",1,1
Abortion is wrong. No human should decide whether or not another human lives or dies. The person should at least carry the child and give them up for adoption. It is murder to abort a child.,0,1
"Euthanasia is humane. With the consent of the patient, it allows them to no longer be suffering. People will be miserable and waiting to die and deserve to be relieved from that. They deserve to not be tortured by their own bodies.",1,1
Gay marriage is essential and a basic human right. Those who love each other should be able to have the privilege of marriage. Gay people are no less human than heterosexuals and deserve to be treated as such. Their love is just as valid.,1,1
Migrants are taking over our population. We should have the country remain the same and allow less people into it. It would bring forth more crime. It would also take away jobs.,0,1
Cannabis legalization is a great idea. It has been proven to have medical benefits. There are no negative affects of marijuana and it should be up to the individual. It would be safer and better if it were sold legally and taxed.,1,1
"I consider myself to be pro-choice. I can not say that I would have an abortion, but I think that the choice is mine to make. I strongly believe that late term abortions should only be to save the life/health of the mother or if the unborn child is no longer viable. I do think that there are cases where abortion might be the answer for some women or girls. I believe a woman should have the right to have all options on the table and that the ultimate decision on what to do about a pregnancy should be hers.",1,1
